"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","q1","q2","q3","puntos_carrera","vel_vuelta_rapida","edad","q1_ms","q2_ms","q3_ms"
1,1000,2018,11,2018-07-29,13,1,5,1985-01-07,"hamilton","British",5836427,83377.5285714286,63,81107,21480,21480,1,"1:17.419","1:31.242","1:35.658",25,194.454,33,77419,91242,95658
1,1001,2018,13,2018-08-26,13,1,5,1985-01-07,"hamilton","British",5025537,114216.75,23,106721,20873.5,41747,2,"1:42.977","1:41.553","1:58.179",18,236.264,33,102977,101553,118179
1,1002,2018,14,2018-09-02,13,1,6,1985-01-07,"hamilton","British",4614484,87065.7358490566,30,82497,23728,23728,1,"1:20.810","1:19.798","1:19.294",25,252.794,33,80810,79798,79294
1,1003,2018,15,2018-09-16,12,1,7,1985-01-07,"hamilton","British",6671611,109370.672131148,56,102913,28946,28946,1,"1:39.403","1:37.344","1:36.015",25,177.108,33,99403,97344,96015
1,1004,2018,71,2018-09-30,11,1,8,1985-01-07,"hamilton","British",5245181,98965.679245283,50,95916,29551,29551,1,"1:32.410","1:32.595","1:31.532",25,219.492,33,92410,92595,91532
1,1005,2018,22,2018-10-07,5,1,9,1985-01-07,"hamilton","British",5237062,98812.4905660377,51,92785,22614,22614,1,"1:28.702","1:28.017","1:27.760",25,225.307,33,88702,88017,87760
1,1006,2018,69,2018-10-21,18,1,9,1985-01-07,"hamilton","British",5660985,101089.017857143,40,97392,23804,47608,2,"1:34.130","1:33.480","1:32.237",15,203.782,33,94130,93480,92237
1,1007,2018,32,2018-10-28,19,1,9,1985-01-07,"hamilton","British",5987589,84332.2394366197,49,80728,22334,44668,2,"1:15.673","1:15.644","1:14.894",12,191.933,33,75673,75644,74894
1,1008,2018,18,2018-11-11,17,1,10,1985-01-07,"hamilton","British",5229066,73648.8169014085,70,71795,22641,22641,1,"1:08.464","1:07.795","1:07.281",25,216.065,33,68464,67795,67281
1,1009,2018,24,2018-11-25,13,1,11,1985-01-07,"hamilton","British",5980382,108734.218181818,53,101357,21283,21283,1,"1:36.828","1:35.693","1:34.794",25,197.267,33,96828,95693,94794
1,1010,2019,1,2019-03-17,5,2,0,1985-01-07,"hamilton","British",5148211,88762.2586206897,57,86057,21515,21515,1,"1:22.043","1:21.014","1:20.486",18,221.839,34,82043,81014,80486
1,1011,2019,3,2019-03-31,15,2,1,1985-01-07,"hamilton","British",5661295,99320.9649122807,36,93528,24289.5,48579,2,"1:29.262","1:28.578","1:28.190",25,208.314,34,89262,88578,88190
1,1012,2019,17,2019-04-14,6,1,2,1985-01-07,"hamilton","British",5526350,98684.8214285714,47,95892,23120.5,46241,2,"1:33.115","1:31.637","1:31.570",25,204.642,34,93115,91637,91570
1,1013,2019,73,2019-04-28,12,2,2,1985-01-07,"hamilton","British",5514466,108126.784313725,48,104166,19993,19993,1,"1:41.614","1:41.580","1:40.554",18,207.465,34,101614,101580,100554
1,1014,2019,4,2019-05-12,13,1,3,1985-01-07,"hamilton","British",5750443,87127.9242424242,54,78492,22388,44776,2,"1:17.292","1:16.038","1:16.040",26,213.499,34,77292,76038,76040
1,1015,2019,6,2019-05-26,13,1,4,1985-01-07,"hamilton","British",6208437,79595.3461538462,9,76167,24266,24266,1,"1:11.542","1:10.835","1:10.166",25,157.721,34,71542,70835,70166
1,1016,2019,7,2019-06-09,18,1,5,1985-01-07,"hamilton","British",5347084,76386.9142857143,62,74813,23662,23662,1,"1:11.518","1:11.010","1:10.446",25,209.851,34,71518,71010,70446
1,1017,2019,34,2019-06-23,13,1,6,1985-01-07,"hamilton","British",5071198,95682.9811320755,53,92764,30186,30186,1,"1:30.609","1:29.520","1:28.319",25,226.717,34,90609,89520,88319
1,1018,2019,70,2019-06-30,13,1,6,1985-01-07,"hamilton","British",4944627,69642.6338028169,69,68050,30067,30067,1,"1:03.818","1:03.803","1:03.262",10,228.432,34,63818,63803,63262
1,1019,2019,9,2019-07-14,13,1,7,1985-01-07,"hamilton","British",4868452,93624.0769230769,52,87369,28905,28905,1,"1:25.513","1:25.840","1:25.099",26,242.735,34,85513,85840,85099
1,1020,2019,10,2019-07-28,13,1,7,1985-01-07,"hamilton","British",6290942,98295.96875,60,77485,29811,178866,6,"1:12.852","1:12.149","1:11.767",2,208.935,34,72852,72149,71767
1,1021,2019,11,2019-08-04,13,1,8,1985-01-07,"hamilton","British",5703796,81482.8,60,78528,22135,44270,2,"1:16.068","1:15.548","1:14.769",25,200.84,34,76068,75548,74769
1,1022,2019,13,2019-09-01,13,1,8,1985-01-07,"hamilton","British",5026691,114242.977272727,24,106580,23497,23497,1,"1:45.260","1:43.592","1:43.282",18,236.577,34,105260,103592,103282
1,1023,2019,14,2019-09-08,13,1,8,1985-01-07,"hamilton","British",4561864,86072.9056603774,51,81779,23821.5,47643,2,"1:20.272","1:19.464","1:19.346",16,255.014,34,80272,79464,79346
1,1024,2019,15,2019-09-22,12,1,8,1985-01-07,"hamilton","British",7118275,116693.032786885,58,104914,28930,28930,1,"1:37.565","1:36.933","1:36.408",12,173.73,34,97565,96933,96408
1,1025,2019,71,2019-09-29,11,1,9,1985-01-07,"hamilton","British",5618992,106018.716981132,51,95761,29751,29751,1,"1:33.230","1:33.134","1:32.030",26,219.847,34,93230,93134,92030
1,1026,2019,22,2019-10-13,5,1,9,1985-01-07,"hamilton","British",4920613,94627.1730769231,45,90983,23586.5,47173,2,"1:28.735","1:27.826","1:27.302",16,229.77,34,88735,87826,87302
1,1027,2019,32,2019-10-27,19,1,10,1985-01-07,"hamilton","British",5808904,81815.5492957746,66,79461,22269,22269,1,"1:16.424","1:15.721","1:15.262",25,194.993,34,76424,75721,75262
1,1027,2019,32,2019-10-27,19,1,10,1985-01-07,"hamilton","British",5808904,81815.5492957746,67,79461,22269,22269,1,"1:16.424","1:15.721","1:15.262",25,194.993,34,76424,75721,75262
1,1028,2019,69,2019-11-03,19,1,10,1985-01-07,"hamilton","British",5639801,100710.732142857,26,98446,23943,23943,1,"1:33.454","1:33.045","1:32.321",18,201.6,34,93454,93045,92321
1,1029,2019,18,2019-11-17,17,1,10,1985-01-07,"hamilton","British",5600817,78884.7464788732,46,71082,23010,69030,3,"1:08.614","1:08.088","1:07.699",6,218.232,34,68614,68088,67699
1,1030,2019,24,2019-12-01,13,1,11,1985-01-07,"hamilton","British",5645715,102649.363636364,53,99283,22178,22178,1,"1:35.851","1:35.634","1:34.779",26,201.387,34,95851,95634,94779
1,1031,2020,70,2020-07-05,13,4,0,1985-01-07,"hamilton","British",5456428,76851.0985915493,67,67712,19107.5,38215,2,"1:04.198","1:03.096","1:02.951",12,229.572,35,64198,63096,62951
1,1032,2020,70,2020-07-12,13,2,1,1985-01-07,"hamilton","British",4970683,70009.6197183099,68,66719,21729,21729,1,"1:18.188","1:17.825","1:19.273",25,232.989,35,78188,77825,79273
1,1033,2020,11,2020-07-19,13,1,2,1985-01-07,"hamilton","British",5772473,82463.9,70,76627,22336.6666666667,67010,3,"1:14.907","1:14.261","1:13.447",26,205.823,35,74907,74261,73447
1,1034,2020,9,2020-08-02,13,1,3,1985-01-07,"hamilton","British",5281283,101563.134615385,45,89238,28805,28805,1,"1:25.900","1:25.347","1:24.303",25,237.652,35,85900,85347,84303
1,1035,2020,9,2020-08-09,13,1,3,1985-01-07,"hamilton","British",4793319,92179.2115384615,43,88451,28904,57808,2,"1:26.818","1:26.266","1:25.217",19,239.766,35,86818,86266,85217
1,1036,2020,4,2020-08-16,13,1,4,1985-01-07,"hamilton","British",5505279,83413.3181818182,63,79822,22615,45230,2,"1:16.872","1:16.013","1:15.584",25,209.942,35,76872,76013,75584
1,1037,2020,13,2020-08-30,13,1,5,1985-01-07,"hamilton","British",5048761,114744.568181818,28,107758,23298,23298,1,"1:42.323","1:42.014","1:41.252",25,233.99,35,102323,102014,101252
1,1038,2020,14,2020-09-06,13,1,5,1985-01-07,"hamilton","British",6443301,121571.716981132,34,82746,524392.666666667,1573178,3,"1:19.514","1:19.092","1:18.887",7,252.033,35,79514,79092,78887
