"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","puntos_carrera","vel_vuelta_rapida","q1_ms","q2_ms","q3_ms","temperatura","precip","humedad","temp_ap","presion","lluvia","nieve","cloud_cover","cloud_cover_low","viento"
"1","1000","2018","11","2018-07-29","1","1","5","1985-01-07","hamilton","British","5836427","83377.5285714286","63","81107","21480","21480","1","25","194.454","77419","91242","95658","32","0","39","34","1011.2","0","0","28","17","7.7"
"1","1001","2018","13","2018-08-26","1","1","5","1985-01-07","hamilton","British","5025537","114216.75","23","106721","20873.5","41747","2","18","236.264","102977","101553","118179","16.7","0","46","13.1","1016.5","0","0","100","94","16.6"
"1","1002","2018","14","2018-09-02","1","1","6","1985-01-07","hamilton","British","4614484","87065.7358490566","30","82497","23728","23728","1","25","252.794","80810","79798","79294","19.1","0.4","81","20.7","1017.2","0.4","0","82","9","2.5"
"1","1003","2018","15","2018-09-16","1","1","7","1985-01-07","hamilton","British","6671611","109370.672131148","56","102913","28946","28946","1","25","177.108","99403","97344","96015","27.8","0","78","31.5","1007.4","0","0","19","3","15"
"1","1004","2018","71","2018-09-30","1","1","8","1985-01-07","hamilton","British","5245181","98965.679245283","50","95916","29551","29551","1","25","219.492","92410","92595","91532","22.7","0","74","23.6","1017.5","0","0","55","0","13.5"
"1","1005","2018","22","2018-10-07","1","1","9","1985-01-07","hamilton","British","5237062","98812.4905660377","51","92785","22614","22614","1","25","225.307","88702","88017","87760","26.4","0","59","27.3","1011.6","0","0","1","0","16.8"
"1","1006","2018","69","2018-10-21","1","1","9","1985-01-07","hamilton","British","5660985","101089.017857143","40","97392","23804","47608","2","15","203.782","94130","93480","92237","18.9","0","53","16.1","1025.5","0","0","15","0","17.3"
"1","1007","2018","32","2018-10-28","1","1","9","1985-01-07","hamilton","British","5987589","84332.2394366197","49","80728","22334","44668","2","12","191.933","75673","75644","74894","19.7","0","51","18.8","1018.8","0","0","52","24","8.2"
"1","1008","2018","18","2018-11-11","1","1","10","1985-01-07","hamilton","British","5229066","73648.8169014085","70","71795","22641","22641","1","25","216.065","68464","67795","67281","24","0.3","75","26.3","1012.5","0.3","0","53","21","15.4"
"1","1009","2018","24","2018-11-25","1","1","11","1985-01-07","hamilton","British","5980382","108734.218181818","53","101357","21283","21283","1","25","197.267","96828","95693","94794","32.8","0","37","31.6","1012.4","0","0","15","0","23"
"1","1010","2019","1","2019-03-17","1","2","0","1985-01-07","hamilton","British","5148211","88762.2586206897","57","86057","21515","21515","1","18","221.839","82043","81014","80486","25.1","0","50","25.8","1016","0","0","6","7","12.9"
"1","1011","2019","3","2019-03-31","1","2","1","1985-01-07","hamilton","British","5661295","99320.9649122807","36","93528","24289.5","48579","2","25","208.314","89262","88578","88190","27.4","0","50","24.8","1005.1","0","0","27","0","32.1"
"1","1012","2019","17","2019-04-14","1","1","2","1985-01-07","hamilton","British","5526350","98684.8214285714","47","95892","23120.5","46241","2","25","204.642","93115","91637","91570","18.6","0","60","15.8","1019.4","0","0","38","7","20.6"
"1","1013","2019","73","2019-04-28","1","2","2","1985-01-07","hamilton","British","5514466","108126.784313725","48","104166","19993","19993","1","18","207.465","101614","101580","100554","17.9","0","72","16.3","1011.2","0","0","0","0","24.3"
"1","1014","2019","4","2019-05-12","1","1","3","1985-01-07","hamilton","British","5750443","87127.9242424242","54","78492","22388","44776","2","26","213.499","77292","76038","76040","20.9","0","58","21.2","1021.4","0","0","5","2","16.8"
"1","1015","2019","6","2019-05-26","1","1","4","1985-01-07","hamilton","British","6208437","79595.3461538462","9","76167","24266","24266","1","25","157.721","71542","70835","70166","21.4","0.3","70","23.7","1012","0.3","0","78","2","7.9"
"1","1016","2019","7","2019-06-09","1","1","5","1985-01-07","hamilton","British","5347084","76386.9142857143","62","74813","23662","23662","1","25","209.851","71518","71010","70446","25.4","0","30","24.2","1024.8","0","0","0","0","15.3"
"1","1017","2019","34","2019-06-23","1","1","6","1985-01-07","hamilton","British","5071198","95682.9811320755","53","92764","30186","30186","1","25","226.717","90609","89520","88319","27.2","0","42","28.5","1015.6","0","0","11","0","12.4"
"1","1018","2019","70","2019-06-30","1","1","6","1985-01-07","hamilton","British","4944627","69642.6338028169","69","68050","30067","30067","1","10","228.432","63818","63803","63262","33.4","0","16","33.3","1018","0","0","2","0","7"
"1","1019","2019","9","2019-07-14","1","1","7","1985-01-07","hamilton","British","4868452","93624.0769230769","52","87369","28905","28905","1","26","242.735","85513","85840","85099","17.6","0.1","67","16.7","1024","0.1","0","98","100","8.9"
"1","1020","2019","10","2019-07-28","1","1","7","1985-01-07","hamilton","British","6290942","98295.96875","60","77485","29811","178866","6","2","208.935","72852","72149","71767","23.2","7","71","25","1002","7","0","79","39","6.8"
"1","1021","2019","11","2019-08-04","1","1","8","1985-01-07","hamilton","British","5703796","81482.8","60","78528","22135","44270","2","25","200.84","76068","75548","74769","21.8","0","56","22.9","1014.7","0","0","30","9","3.3"
"1","1022","2019","13","2019-09-01","1","1","8","1985-01-07","hamilton","British","5026691","114242.977272727","24","106580","23497","23497","1","18","236.577","105260","103592","103282","16.4","0","70","14.5","1016.8","0","0","84","22","14.9"
"1","1023","2019","14","2019-09-08","1","1","8","1985-01-07","hamilton","British","4561864","86072.9056603774","51","81779","23821.5","47643","2","16","255.014","80272","79464","79346","18.6","0.5","66","18.2","1011","0.5","0","30","21","6.8"
"1","1024","2019","15","2019-09-22","1","1","8","1985-01-07","hamilton","British","7118275","116693.032786885","58","104914","28930","28930","1","12","173.73","97565","96933","96408","29.5","0","67","32","1009.2","0","0","30","15","20.3"
"1","1025","2019","71","2019-09-29","1","1","9","1985-01-07","hamilton","British","5618992","106018.716981132","51","95761","29751","29751","1","26","219.847","93230","93134","92030","20","0.1","80","20.5","1017.5","0.1","0","20","11","12.3"
"1","1026","2019","22","2019-10-13","1","1","9","1985-01-07","hamilton","British","4920613","94627.1730769231","45","90983","23586.5","47173","2","16","229.77","88735","87826","87302","21.9","0","61","19.8","1012.7","0","0","0","0","28.6"
"1","1027","2019","32","2019-10-27","1","1","10","1985-01-07","hamilton","British","5808904","81815.5492957746","66","79461","22269","22269","1","25","194.993","76424","75721","75262","20.1","0.1","72","22.3","1014.4","0.1","0","100","100","2.6"
"1","1027","2019","32","2019-10-27","1","1","10","1985-01-07","hamilton","British","5808904","81815.5492957746","67","79461","22269","22269","1","25","194.993","76424","75721","75262","20.1","0.1","72","22.3","1014.4","0.1","0","100","100","2.6"
"1","1028","2019","69","2019-11-03","1","1","10","1985-01-07","hamilton","British","5639801","100710.732142857","26","98446","23943","23943","1","18","201.6","93454","93045","92321","18.5","0","37","15.7","1022.7","0","0","7","0","15.2"
"1","1029","2019","18","2019-11-17","1","1","10","1985-01-07","hamilton","British","5600817","78884.7464788732","46","71082","23010","69030","3","6","218.232","68614","68088","67699","19.6","0","73","19.5","1013.9","0","0","24","21","26.5"
"1","1030","2019","24","2019-12-01","1","1","11","1985-01-07","hamilton","British","5645715","102649.363636364","53","99283","22178","22178","1","26","201.387","95851","95634","94779","26.2","0","59","26","1014.9","0","0","6","1","20.6"
"1","1031","2020","70","2020-07-05","1","4","0","1985-01-07","hamilton","British","5456428","76851.0985915493","67","67712","19107.5","38215","2","12","229.572","64198","63096","62951","25.4","0","43","26.1","1017.1","0","0","49","0","5.5"
"1","1032","2020","70","2020-07-12","1","2","1","1985-01-07","hamilton","British","4970683","70009.6197183099","68","66719","21729","21729","1","25","232.989","78188","77825","79273","18.8","0","42","17.4","1024.4","0","0","37","0","7.6"
"1","1033","2020","11","2020-07-19","1","1","2","1985-01-07","hamilton","British","5772473","82463.9","70","76627","22336.6666666667","67010","3","26","205.823","74907","74261","73447","18.9","0.2","87","19","1014.2","0.2","0","98","21","15.8"
"1","1034","2020","9","2020-08-02","1","1","3","1985-01-07","hamilton","British","5281283","101563.134615385","45","89238","28805","28805","1","25","237.652","85900","85347","84303","19.4","0","48","16.9","1016.3","0","0","41","20","17.7"
"1","1035","2020","9","2020-08-09","1","1","3","1985-01-07","hamilton","British","4793319","92179.2115384615","43","88451","28904","57808","2","19","239.766","86818","86266","85217","23.3","0","64","24.8","1018.7","0","0","23","0","12"
"1","1036","2020","4","2020-08-16","1","1","4","1985-01-07","hamilton","British","5505279","83413.3181818182","63","79822","22615","45230","2","25","209.942","76872","76013","75584","27.8","0.6","56","30","1012.2","0.6","0","34","17","12.6"
"1","1037","2020","13","2020-08-30","1","1","5","1985-01-07","hamilton","British","5048761","114744.568181818","28","107758","23298","23298","1","25","233.99","102323","102014","101252","16.9","0","65","15.4","1010.6","0","0","100","98","11"
"1","1038","2020","14","2020-09-06","1","1","5","1985-01-07","hamilton","British","6443301","121571.716981132","34","82746","524392.666666667","1573178","3","7","252.033","79514","79092","78887","25.9","0","51","27.7","1012.7","0","0","24","17","4"
"1","1039","2020","76","2020-09-13","1","1","6","1985-01-07","hamilton","British","8375060","141950.169491525","58","78833","560077.6","2800388","5","26","239.518","75778","75309","75144","30.1","0","39","30.9","1022.8","0","0","0","0","12.3"
"1","1040","2020","71","2020-09-27","1","1","6","1985-01-07","hamilton","British","5663093","106850.811320755","48","98075","41352","41352","1","15","214.66","92983","92835","91304","28.2","0","53","30.3","1013.2","0","0","0","0","10"
