"name","raceId","pilotos","num_carreras","num_pilotos","lat","lon","country","location"
"Albert Park Grand Prix Circuit","1100, 880, 841, 926, 948, 900, 1010, 860, 969, 1076, 989","839, 856, 1, 2, 831, 825, 847, 844, 813, 830, 846, 826, 811, 852, 817, 20, 17, 840, 814, 10, 4, 849, 155, 22, 154, 828, 815, 822, 807, 843, 3, 858, 821, 832, 824, 842, 13, 820, 8, 808, 841, 823, 857, 835, 816, 18, 855, 836, 5, 9, 67, 819, 153, 16, 848, 818, 838, 854, 30, 837, 15",11,61,-37.8497,144.968,"Australia","Melbourne"
"Autodromo Enzo e Dino Ferrari","1043, 1077, 1053","847, 844, 822, 849, 815, 840, 1, 817, 854, 830, 841, 826, 852, 855, 846, 20, 842, 848, 832, 8, 825, 853, 839, 4, 154",3,25,44.3439,11.7167,"Italy","Imola"
"Autódromo Hermanos Rodríguez","943, 966, 1007, 1094, 1027, 1070, 986","830, 815, 832, 822, 839, 807, 848, 8, 817, 1, 844, 154, 842, 20, 4, 834, 840, 3, 18, 828, 845, 825, 847, 846, 841, 849, 826, 852, 821, 836, 13, 9, 853, 831, 838, 855, 854, 829, 813, 843",7,40,19.4042,-99.0907,"Mexico","Mexico City"
"Autódromo Internacional do Algarve","1042, 1054","815, 822, 832, 847, 841, 840, 854, 844, 817, 848, 826, 8, 839, 842, 830, 1, 849, 20, 853, 154, 4, 846, 852, 825",2,24,37.227,-8.6267,"Portugal","Portimão"
"Autodromo Internazionale del Mugello","1039","840, 847, 822, 20, 815, 1, 848, 817, 8, 839, 846, 826, 154, 844",1,14,43.9975,11.3719,"Italy","Mugello"
"Autódromo José Carlos Pace","1029, 944, 967, 1071, 859, 1095, 899, 917, 879, 1008, 987","844, 822, 830, 835, 817, 815, 20, 846, 13, 826, 30, 811, 825, 1, 8, 4, 839, 847, 18, 17, 814, 10, 3, 813, 24, 840, 832, 807, 852, 848, 155, 845, 828, 842, 154, 16, 821, 849, 808, 820, 834, 39, 819, 818, 838, 843, 841, 9, 153, 816, 831, 22, 15, 853, 829, 836, 5, 37, 824, 67, 855, 823, 854",11,63,-23.7036,-46.6997,"Brazil","São Paulo"
"Autodromo Nazionale di Monza","961, 912, 872, 1089, 1002, 1023, 1065, 938, 1038, 853, 981, 892","4, 826, 13, 832, 856, 817, 813, 844, 9, 18, 815, 840, 824, 10, 822, 816, 1, 830, 831, 828, 807, 825, 841, 847, 836, 3, 154, 849, 839, 848, 153, 20, 833, 16, 22, 39, 821, 811, 8, 30, 855, 819, 852, 846, 155, 842, 5, 814, 818, 854, 829, 17, 808, 835, 67, 845, 838, 853, 820, 37, 15, 823",12,62,45.6156,9.28111,"Italy","Monza"
"Bahrain International Circuit","902, 1045, 1046, 863, 883, 990, 971, 1011, 1074, 949, 929, 1052, 1098","807, 841, 814, 839, 154, 17, 842, 1, 20, 847, 826, 39, 849, 10, 852, 823, 830, 817, 846, 844, 825, 840, 856, 813, 13, 8, 843, 828, 836, 3, 5, 832, 821, 818, 18, 4, 835, 845, 822, 155, 808, 815, 848, 16, 831, 30, 820, 811, 824, 851, 854, 819, 858, 829, 9, 833, 838, 855, 850, 837, 37",13,61,26.0325,50.5106,"Bahrain","Sakhir"
"Baku City Circuit","955, 1101, 992, 1013, 1057, 976, 1081","3, 846, 825, 1, 821, 8, 20, 815, 835, 844, 830, 832, 841, 842, 847, 13, 154, 838, 817, 4, 839, 854, 836, 826, 807, 822, 828, 843, 852, 848, 18, 858, 849, 857, 831, 837, 840, 855, 853, 9",7,40,40.3725,49.8533,"Azerbaijan","Baku"
"Buddh International Circuit","896, 876, 857","815, 3, 1, 8, 39, 17, 808, 807, 16, 153, 5, 4, 13, 10, 813, 817, 18, 20, 814, 154, 820, 811, 67, 22, 819, 818, 37, 30, 822, 824, 15, 816, 821, 155",3,34,28.3487,77.5331,"India","Uttar Pradesh"
