"competicion","pilotos","pos_final","para_box","año"
"Australian Grand Prix","webber",5,3,2011
"Australian Grand Prix","resta",10,2,2011
"Australian Grand Prix","alguersuari",11,3,2011
"Australian Grand Prix","alonso",4,3,2011
"Australian Grand Prix","sutil",9,2,2011
"Australian Grand Prix","trulli",13,2,2011
"Australian Grand Prix","heidfeld",12,2,2011
"Australian Grand Prix","buemi",8,2,2011
"Australian Grand Prix","massa",7,3,2011
"Australian Grand Prix","glock",15,1,2011
"Australian Grand Prix","rosberg",17,1,2011
"Australian Grand Prix","barrichello",16,4,2011
"Australian Grand Prix","ambrosio",14,2,2011
"Australian Grand Prix","petrov",3,2,2011
"Australian Grand Prix","kovalainen",18,1,2011
"Australian Grand Prix","hamilton",2,2,2011
"Australian Grand Prix","vettel",1,2,2011
"Australian Grand Prix","michael_schumacher",19,2,2011
"Australian Grand Prix","button",6,3,2011
"Malaysian Grand Prix","hamilton",3,4,2011
"Malaysian Grand Prix","webber",4,4,2011
"Malaysian Grand Prix","alguersuari",14,2,2011
"Malaysian Grand Prix","trulli",16,1,2011
"Malaysian Grand Prix","liuzzi",22,3,2011
"Malaysian Grand Prix","resta",13,3,2011
"Malaysian Grand Prix","alonso",5,4,2011
"Malaysian Grand Prix","sutil",11,3,2011
"Malaysian Grand Prix","ambrosio",17,2,2011
"Malaysian Grand Prix","kobayashi",9,2,2011
"Malaysian Grand Prix","heidfeld",7,3,2011
"Malaysian Grand Prix","buemi",10,3,2011
"Malaysian Grand Prix","barrichello",21,2,2011
"Malaysian Grand Prix","button",2,3,2011
"Malaysian Grand Prix","petrov",8,3,2011
"Malaysian Grand Prix","michael_schumacher",12,3,2011
"Malaysian Grand Prix","kovalainen",18,2,2011
"Malaysian Grand Prix","rosberg",15,3,2011
"Malaysian Grand Prix","massa",6,3,2011
"Malaysian Grand Prix","perez",20,1,2011
"Malaysian Grand Prix","vettel",1,3,2011
"Malaysian Grand Prix","glock",19,2,2011
"Chinese Grand Prix","kobayashi",10,2,2011
"Chinese Grand Prix","barrichello",17,2,2011
"Chinese Grand Prix","hamilton",2,3,2011
"Chinese Grand Prix","ambrosio",18,2,2011
"Chinese Grand Prix","liuzzi",23,3,2011
"Chinese Grand Prix","kovalainen",19,2,2011
"Chinese Grand Prix","karthikeyan",24,1,2011
"Chinese Grand Prix","trulli",16,2,2011
"Chinese Grand Prix","petrov",7,2,2011
"Chinese Grand Prix","webber",4,3,2011
"Chinese Grand Prix","maldonado",22,3,2011
"Chinese Grand Prix","heidfeld",8,2,2011
"Chinese Grand Prix","resta",14,2,2011
"Chinese Grand Prix","rosberg",9,3,2011
"Chinese Grand Prix","alguersuari",15,1,2011
"Chinese Grand Prix","massa",6,2,2011
"Chinese Grand Prix","perez",21,4,2011
"Chinese Grand Prix","vettel",1,2,2011
"Chinese Grand Prix","button",3,3,2011
"Chinese Grand Prix","alonso",5,2,2011
"Chinese Grand Prix","buemi",12,3,2011
"Chinese Grand Prix","glock",20,3,2011
"Chinese Grand Prix","michael_schumacher",11,3,2011
"Chinese Grand Prix","sutil",13,3,2011
"Turkish Grand Prix","barrichello",16,3,2011
"Turkish Grand Prix","ambrosio",19,2,2011
"Turkish Grand Prix","webber",3,4,2011
"Turkish Grand Prix","michael_schumacher",11,4,2011
"Turkish Grand Prix","kovalainen",20,3,2011
"Turkish Grand Prix","heidfeld",7,4,2011
"Turkish Grand Prix","trulli",17,3,2011
"Turkish Grand Prix","massa",6,4,2011
"Turkish Grand Prix","resta",14,4,2011
"Turkish Grand Prix","hamilton",2,4,2011
"Turkish Grand Prix","alguersuari",15,4,2011
"Turkish Grand Prix","karthikeyan",23,3,2011
"Turkish Grand Prix","petrov",8,4,2011
"Turkish Grand Prix","maldonado",22,4,2011
"Turkish Grand Prix","vettel",1,4,2011
"Turkish Grand Prix","buemi",12,3,2011
"Turkish Grand Prix","liuzzi",24,4,2011
"Turkish Grand Prix","rosberg",9,4,2011
"Turkish Grand Prix","perez",18,4,2011
"Turkish Grand Prix","button",4,3,2011
"Turkish Grand Prix","alonso",5,4,2011
"Turkish Grand Prix","sutil",13,3,2011
"Spanish Grand Prix","ambrosio",19,3,2011
"Spanish Grand Prix","barrichello",17,4,2011
"Spanish Grand Prix","petrov",9,3,2011
"Spanish Grand Prix","kobayashi",11,3,2011
"Spanish Grand Prix","rosberg",6,3,2011
"Spanish Grand Prix","hamilton",2,4,2011
"Spanish Grand Prix","webber",3,4,2011
"Spanish Grand Prix","alguersuari",16,4,2011
"Spanish Grand Prix","massa",8,3,2011
"Spanish Grand Prix","michael_schumacher",10,3,2011
"Spanish Grand Prix","kovalainen",20,3,2011
"Spanish Grand Prix","sutil",13,3,2011
"Spanish Grand Prix","liuzzi",24,1,2011
"Spanish Grand Prix","webber",3,4,2011
"Spanish Grand Prix","karthikeyan",23,3,2011
"Spanish Grand Prix","vettel",1,4,2011
"Spanish Grand Prix","resta",15,3,2011
"Spanish Grand Prix","buemi",12,3,2011
"Spanish Grand Prix","maldonado",21,4,2011
"Spanish Grand Prix","button",4,3,2011
"Spanish Grand Prix","glock",22,3,2011
"Spanish Grand Prix","perez",14,3,2011
"Spanish Grand Prix","alonso",5,4,2011
"Spanish Grand Prix","trulli",18,3,2011
"Monaco Grand Prix","buemi",13,2,2011
"Monaco Grand Prix","massa",8,1,2011
"Monaco Grand Prix","vettel",1,1,2011
"Monaco Grand Prix","karthikeyan",24,2,2011
"Monaco Grand Prix","kovalainen",19,2,2011
"Monaco Grand Prix","rosberg",7,3,2011
"Monaco Grand Prix","ambrosio",20,2,2011
"Monaco Grand Prix","barrichello",14,2,2011
"Monaco Grand Prix","kobayashi",10,1,2011
"Monaco Grand Prix","hamilton",2,3,2011
"Monaco Grand Prix","petrov",9,1,2011
"Monaco Grand Prix","alguersuari",17,2,2011
"Monaco Grand Prix","michael_schumacher",11,1,2011
"Monaco Grand Prix","sutil",12,2,2011
"Monaco Grand Prix","heidfeld",6,2,2011
"Monaco Grand Prix","webber",3,2,2011
"Monaco Grand Prix","button",4,3,2011
"Monaco Grand Prix","alonso",5,2,2011
"Monaco Grand Prix","trulli",18,2,2011
"Monaco Grand Prix","resta",16,3,2011
"Monaco Grand Prix","maldonado",21,2,2011
"Monaco Grand Prix","glock",22,1,2011
"Monaco Grand Prix","liuzzi",23,1,2011
"Canadian Grand Prix","ambrosio",21,5,2011
"Canadian Grand Prix","maldonado",24,5,2011
"Canadian Grand Prix","barrichello",15,4,2011
"Canadian Grand Prix","buemi",13,4,2011
"Canadian Grand Prix","webber",3,3,2011
"Canadian Grand Prix","massa",6,4,2011
"Canadian Grand Prix","petrov",7,2,2011
"Canadian Grand Prix","liuzzi",20,3,2011
"Canadian Grand Prix","karthikeyan",23,2,2011
"Canadian Grand Prix","alguersuari",14,3,2011
"Canadian Grand Prix","alonso",5,3,2011
"Canadian Grand Prix","kobayashi",11,2,2011
"Canadian Grand Prix","kovalainen",22,1,2011
"Canadian Grand Prix","sutil",12,4,2011
"Canadian Grand Prix","rosa",18,2,2011
"Canadian Grand Prix","resta",17,4,2011
"Canadian Grand Prix","trulli",19,3,2011
"Canadian Grand Prix","michael_schumacher",9,4,2011
"Canadian Grand Prix","glock",25,2,2011
"Canadian Grand Prix","button",2,6,2011
"Canadian Grand Prix","vettel",1,3,2011
"Canadian Grand Prix","heidfeld",8,2,2011
"Canadian Grand Prix","rosberg",10,4,2011
"European Grand Prix","michael_schumacher",10,3,2011
"European Grand Prix","ambrosio",21,2,2011
"European Grand Prix","petrov",8,3,2011
"European Grand Prix","buemi",14,3,2011
"European Grand Prix","heidfeld",9,3,2011
"European Grand Prix","kovalainen",22,3,2011
"European Grand Prix","barrichello",15,3,2011
"European Grand Prix","webber",3,3,2011
"European Grand Prix","alguersuari",13,2,2011
"European Grand Prix","trulli",19,2,2011
"European Grand Prix","resta",17,3,2011
"European Grand Prix","hamilton",4,3,2011
"European Grand Prix","glock",25,2,2011
"European Grand Prix","maldonado",24,3,2011
"European Grand Prix","massa",6,3,2011
"European Grand Prix","karthikeyan",23,3,2011
"European Grand Prix","liuzzi",20,3,2011
"European Grand Prix","vettel",1,3,2011
"European Grand Prix","rosberg",7,3,2011
"European Grand Prix","perez",16,1,2011
"European Grand Prix","sutil",12,3,2011
"European Grand Prix","alonso",5,3,2011
"European Grand Prix","button",2,3,2011
"European Grand Prix","liuzzi",20,3,2011
"European Grand Prix","kobayashi",11,2,2011
"British Grand Prix","hamilton",4,3,2011
"British Grand Prix","buemi",15,2,2011
"British Grand Prix","glock",25,2,2011
"British Grand Prix","heidfeld",8,2,2011
"British Grand Prix","alguersuari",13,2,2011
"British Grand Prix","michael_schumacher",10,3,2011
"British Grand Prix","perez",14,2,2011
"British Grand Prix","maldonado",23,3,2011
"British Grand Prix","sutil",12,3,2011
"British Grand Prix","liuzzi",20,2,2011
"British Grand Prix","ricciardo",26,2,2011
"British Grand Prix","resta",17,3,2011
"British Grand Prix","kobayashi",11,2,2011
"British Grand Prix","alonso",3,3,2011
"British Grand Prix","petrov",9,2,2011
"British Grand Prix","rosberg",7,2,2011
"British Grand Prix","vettel",1,3,2011
"British Grand Prix","barrichello",16,2,2011
"British Grand Prix","ambrosio",21,2,2011
"British Grand Prix","button",5,3,2011
"British Grand Prix","webber",2,3,2011
"British Grand Prix","massa",6,3,2011
"German Grand Prix","alguersuari",13,2,2011
"German Grand Prix","chandhok",27,3,2011
"German Grand Prix","rosberg",7,3,2011
"German Grand Prix","ricciardo",26,2,2011
"German Grand Prix","buemi",15,2,2011
"German Grand Prix","resta",17,2,2011
"German Grand Prix","sutil",12,2,2011
"German Grand Prix","alonso",4,3,2011
"German Grand Prix","hamilton",3,3,2011
"German Grand Prix","michael_schumacher",10,3,2011
"German Grand Prix","perez",14,2,2011
"German Grand Prix","ambrosio",22,2,2011
"German Grand Prix","maldonado",21,2,2011
"German Grand Prix","kovalainen",23,2,2011
"German Grand Prix","webber",2,3,2011
"German Grand Prix","liuzzi",20,1,2011
"German Grand Prix","massa",6,3,2011
"German Grand Prix","kobayashi",11,2,2011
"German Grand Prix","button",5,1,2011
"German Grand Prix","vettel",1,3,2011
"German Grand Prix","glock",24,2,2011
"German Grand Prix","petrov",9,2,2011
"Hungarian Grand Prix","ricciardo",26,3,2011
"Hungarian Grand Prix","alguersuari",14,3,2011
"Hungarian Grand Prix","ambrosio",22,4,2011
"Hungarian Grand Prix","massa",6,4,2011
"Hungarian Grand Prix","liuzzi",20,5,2011
"Hungarian Grand Prix","hamilton",3,6,2011
"Hungarian Grand Prix","barrichello",17,5,2011
"Hungarian Grand Prix","heidfeld",8,2,2011
"Hungarian Grand Prix","resta",16,3,2011
"Hungarian Grand Prix","sutil",12,4,2011
"Hungarian Grand Prix","vettel",1,3,2011
"Hungarian Grand Prix","maldonado",21,5,2011
"Hungarian Grand Prix","petrov",9,4,2011
"Hungarian Grand Prix","rosberg",7,4,2011
"Hungarian Grand Prix","kovalainen",23,5,2011
"Hungarian Grand Prix","michael_schumacher",10,2,2011
"Hungarian Grand Prix","buemi",13,3,2011
"Hungarian Grand Prix","button",5,3,2011
"Hungarian Grand Prix","trulli",19,1,2011
"Hungarian Grand Prix","webber",2,5,2011
"Hungarian Grand Prix","alonso",4,4,2011
"Hungarian Grand Prix","perez",15,4,2011
"Hungarian Grand Prix","glock",24,3,2011
"Hungarian Grand Prix","kobayashi",11,3,2011
"Belgian Grand Prix","ricciardo",27,1,2011
"Belgian Grand Prix","kovalainen",24,3,2011
"Belgian Grand Prix","hamilton",5,1,2011
"Belgian Grand Prix","ambrosio",23,2,2011
"Belgian Grand Prix","liuzzi",21,2,2011
"Belgian Grand Prix","vettel",1,3,2011
"Belgian Grand Prix","button",4,3,2011
"Belgian Grand Prix","maldonado",18,2,2011
"Belgian Grand Prix","massa",6,3,2011
"Belgian Grand Prix","kobayashi",11,2,2011
"Belgian Grand Prix","sutil",12,2,2011
"Belgian Grand Prix","barrichello",17,3,2011
"Belgian Grand Prix","resta",16,2,2011
"Belgian Grand Prix","perez",15,3,2011
"Belgian Grand Prix","glock",25,4,2011
"Belgian Grand Prix","trulli",20,2,2011
"Belgian Grand Prix","webber",2,2,2011
"Belgian Grand Prix","petrov",9,2,2011
"Belgian Grand Prix","alonso",3,2,2011
"Belgian Grand Prix","bruno_senna",22,3,2011
"Belgian Grand Prix","rosberg",7,2,2011
"Italian Grand Prix","michael_schumacher",8,2,2011
"Italian Grand Prix","massa",6,2,2011
"Italian Grand Prix","hamilton",5,2,2011
"Italian Grand Prix","alguersuari",13,2,2011
"Italian Grand Prix","kovalainen",22,2,2011
"Italian Grand Prix","ricciardo",27,2,2011
"Italian Grand Prix","buemi",14,2,2011
"Italian Grand Prix","kobayashi",11,2,2011
"Italian Grand Prix","barrichello",17,2,2011
"Italian Grand Prix","bruno_senna",18,3,2011
"Italian Grand Prix","vettel",1,2,2011
"Italian Grand Prix","button",3,2,2011
"Italian Grand Prix","trulli",21,2,2011
"Italian Grand Prix","maldonado",19,2,2011
"Italian Grand Prix","resta",15,2,2011
"Italian Grand Prix","alonso",2,2,2011
"Italian Grand Prix","glock",25,2,2011
"Singapore Grand Prix","hamilton",5,5,2011
"Singapore Grand Prix","michael_schumacher",8,2,2011
"Singapore Grand Prix","resta",13,2,2011
"Singapore Grand Prix","kovalainen",22,3,2011
"Singapore Grand Prix","buemi",15,3,2011
"Singapore Grand Prix","alguersuari",14,3,2011
"Singapore Grand Prix","alonso",3,3,2011
"Singapore Grand Prix","vettel",1,3,2011
"Singapore Grand Prix","ambrosio",24,2,2011
"Singapore Grand Prix","sutil",11,2,2011
"Singapore Grand Prix","barrichello",17,2,2011
"Singapore Grand Prix","maldonado",19,3,2011
"Singapore Grand Prix","kobayashi",12,4,2011
"Singapore Grand Prix","liuzzi",23,4,2011
"Singapore Grand Prix","perez",16,2,2011
"Singapore Grand Prix","ricciardo",27,3,2011
"Singapore Grand Prix","trulli",21,3,2011
"Singapore Grand Prix","bruno_senna",18,4,2011
"Singapore Grand Prix","massa",6,4,2011
"Singapore Grand Prix","rosberg",7,3,2011
"Singapore Grand Prix","button",2,3,2011
"Singapore Grand Prix","petrov",9,3,2011
"Singapore Grand Prix","webber",4,3,2011
"Japanese Grand Prix","hamilton",5,3,2011
"Japanese Grand Prix","buemi",16,1,2011
"Japanese Grand Prix","rosberg",7,3,2011
"Japanese Grand Prix","alguersuari",14,2,2011
"Japanese Grand Prix","sutil",11,3,2011
"Japanese Grand Prix","kobayashi",12,2,2011
"Japanese Grand Prix","ambrosio",24,3,2011
"Japanese Grand Prix","alonso",3,3,2011
"Japanese Grand Prix","kovalainen",22,3,2011
"Japanese Grand Prix","perez",15,2,2011
"Japanese Grand Prix","button",2,3,2011
"Japanese Grand Prix","ricciardo",27,3,2011
"Japanese Grand Prix","maldonado",19,3,2011
"Japanese Grand Prix","vettel",1,3,2011
"Japanese Grand Prix","barrichello",17,3,2011
"Japanese Grand Prix","resta",13,3,2011
"Japanese Grand Prix","massa",6,3,2011
"Japanese Grand Prix","petrov",9,2,2011
"Japanese Grand Prix","michael_schumacher",8,3,2011
"Japanese Grand Prix","liuzzi",23,3,2011
"Japanese Grand Prix","bruno_senna",18,2,2011
"Japanese Grand Prix","trulli",21,3,2011
"Japanese Grand Prix","glock",25,3,2011
"Japanese Grand Prix","webber",4,3,2011
"Korean Grand Prix","hamilton",5,2,2011
"Korean Grand Prix","alguersuari",13,2,2011
"Korean Grand Prix","buemi",15,2,2011
"Korean Grand Prix","liuzzi",23,3,2011
"Korean Grand Prix","ambrosio",24,2,2011
"Korean Grand Prix","kovalainen",22,2,2011
"Korean Grand Prix","petrov",9,1,2011
"Korean Grand Prix","resta",14,2,2011
"Korean Grand Prix","trulli",21,2,2011
"Korean Grand Prix","maldonado",19,3,2011
"Korean Grand Prix","massa",6,2,2011
"Korean Grand Prix","kobayashi",12,3,2011
"Korean Grand Prix","vettel",1,2,2011
"Korean Grand Prix","rosberg",7,2,2011
"Korean Grand Prix","glock",25,2,2011
"Korean Grand Prix","bruno_senna",18,2,2011
"Korean Grand Prix","michael_schumacher",8,1,2011
"Korean Grand Prix","alonso",3,2,2011
"Korean Grand Prix","webber",4,2,2011
"Korean Grand Prix","sutil",11,2,2011
"Korean Grand Prix","ricciardo",27,2,2011
"Korean Grand Prix","perez",16,3,2011
"Korean Grand Prix","barrichello",17,2,2011
"Korean Grand Prix","button",2,2,2011
"Indian Grand Prix","alguersuari",13,2,2011
"Indian Grand Prix","webber",4,2,2011
"Indian Grand Prix","petrov",9,2,2011
"Indian Grand Prix","button",2,2,2011
"Indian Grand Prix","ricciardo",27,3,2011
"Indian Grand Prix","massa",6,3,2011
"Indian Grand Prix","kovalainen",22,2,2011
"Indian Grand Prix","sutil",11,2,2011
"Indian Grand Prix","barrichello",17,2,2011
"Indian Grand Prix","perez",16,2,2011
"Indian Grand Prix","vettel",1,2,2011
"Indian Grand Prix","ambrosio",24,2,2011
"Indian Grand Prix","hamilton",5,3,2011
"Indian Grand Prix","karthikeyan",26,2,2011
"Indian Grand Prix","resta",14,3,2011
"Indian Grand Prix","glock",25,1,2011
"Indian Grand Prix","alonso",3,2,2011
"Indian Grand Prix","buemi",15,1,2011
"Indian Grand Prix","rosberg",7,2,2011
"Indian Grand Prix","bruno_senna",18,2,2011
"Indian Grand Prix","trulli",21,3,2011
"Indian Grand Prix","michael_schumacher",8,2,2011
"Abu Dhabi Grand Prix","michael_schumacher",8,2,2011
"Abu Dhabi Grand Prix","webber",4,3,2011
"Abu Dhabi Grand Prix","hamilton",5,2,2011
"Abu Dhabi Grand Prix","kobayashi",12,2,2011
"Abu Dhabi Grand Prix","ricciardo",27,2,2011
"Abu Dhabi Grand Prix","kovalainen",22,2,2011
"Abu Dhabi Grand Prix","button",2,2,2011
"Abu Dhabi Grand Prix","petrov",9,2,2011
"Abu Dhabi Grand Prix","alguersuari",13,2,2011
"Abu Dhabi Grand Prix","alonso",3,2,2011
"Abu Dhabi Grand Prix","glock",25,2,2011
"Abu Dhabi Grand Prix","trulli",21,2,2011
"Abu Dhabi Grand Prix","perez",16,2,2011
"Abu Dhabi Grand Prix","resta",14,1,2011
"Abu Dhabi Grand Prix","bruno_senna",18,3,2011
"Abu Dhabi Grand Prix","rosberg",7,2,2011
