"raceId","lluvia_cat","humedad_cat","temperatura_cat","viento_cat","ganador","puntua"
1000,"No","Moderada","Muy Cálida","Poco","Si","Si"
1001,"No","Moderada","Alta","Moderado","Si","Si"
1002,"Poca","Muy Alta","Alta","Poco","Si","Si"
1003,"No","Muy Alta","Alta","Moderado","Si","Si"
1004,"No","Alta","Alta","Moderado","Si","Si"
1005,"No","Alta","Alta","Moderado","Si","Si"
1006,"No","Alta","Alta","Moderado","Si","Si"
1007,"No","Alta","Alta","Poco","Si","Si"
1008,"Poca","Alta","Alta","Moderado","Si","Si"
1009,"No","Moderada","Muy Cálida","Mucho","Si","Si"
1010,"No","Moderada","Alta","Moderado","No","Si"
1011,"No","Moderada","Alta","Mucho","No","Si"
1012,"No","Alta","Alta","Mucho","Si","Si"
1013,"No","Alta","Alta","Mucho","No","Si"
1014,"No","Alta","Alta","Moderado","Si","Si"
1015,"Poca","Alta","Alta","Poco","Si","Si"
1016,"No","Moderada","Alta","Moderado","Si","Si"
1017,"No","Moderada","Alta","Moderado","Si","Si"
1018,"No","Baja","Muy Cálida","Poco","Si","Si"
1019,"Poca","Alta","Alta","Poco","Si","Si"
1020,"Mucha","Alta","Alta","Poco","Si","Si"
1021,"No","Alta","Alta","Poco","Si","Si"
1022,"No","Alta","Alta","Moderado","Si","Si"
1023,"Poca","Alta","Alta","Poco","Si","Si"
1024,"No","Alta","Alta","Mucho","Si","Si"
1025,"Poca","Muy Alta","Alta","Moderado","Si","Si"
1026,"No","Alta","Alta","Mucho","Si","Si"
1027,"Poca","Alta","Alta","Poco","Si","Si"
1027,"Poca","Alta","Alta","Poco","Si","Si"
1028,"No","Moderada","Alta","Moderado","Si","Si"
1029,"No","Alta","Alta","Mucho","Si","Si"
1030,"No","Alta","Alta","Mucho","Si","Si"
1031,"No","Moderada","Alta","Poco","No","Si"
1032,"No","Moderada","Alta","Poco","No","Si"
1033,"Poca","Muy Alta","Alta","Moderado","Si","Si"
1034,"No","Moderada","Alta","Moderado","Si","Si"
1035,"No","Alta","Alta","Moderado","Si","Si"
1036,"Poca","Alta","Alta","Moderado","Si","Si"
1037,"No","Alta","Alta","Moderado","Si","Si"
1038,"No","Alta","Alta","Poco","Si","Si"
1039,"No","Moderada","Muy Cálida","Moderado","Si","Si"
1040,"No","Alta","Alta","Poco","Si","Si"
1041,"No","Alta","Templada","Moderado","Si","Si"
1042,"Poca","Alta","Alta","Mucho","Si","Si"
1043,"No","Alta","Alta","Poco","Si","Si"
1044,"Poca","Muy Alta","Templada","Poco","Si","Si"
1045,"No","Moderada","Alta","Moderado","Si","Si"
1047,"No","Moderada","Alta","Moderado","Si","Si"
1051,"No","Alta","Alta","Moderado","No","Si"
1052,"No","Alta","Alta","Mucho","Si","Si"
1053,"Poca","Alta","Templada","Moderado","Si","Si"
1054,"No","Moderada","Alta","Poco","Si","Si"
1055,"Poca","Alta","Alta","Moderado","Si","Si"
1056,"No","Alta","Alta","Moderado","No","Si"
1057,"No","Alta","Alta","Mucho","No","No"
1058,"No","Moderada","Alta","Poco","No","Si"
1059,"Poca","Moderada","Alta","Mucho","No","Si"
1060,"No","Alta","Alta","Poco","No","Si"
1061,"No","Moderada","Alta","Poco","No","Si"
1062,"No","Moderada","Alta","Moderado","Si","Si"
1064,"No","Alta","Alta","Moderado","No","Si"
1065,"No","Moderada","Alta","Poco","No","No"
1066,"Poca","Alta","Alta","Moderado","Si","Si"
1067,"No","Alta","Alta","Mucho","No","Si"
1069,"Poca","Alta","Alta","Moderado","No","Si"
1070,"No","Moderada","Alta","Poco","No","Si"
1071,"No","Moderada","Alta","Poco","No","Si"
1072,"No","Alta","Alta","Moderado","No","Si"
1073,"No","Alta","Alta","Moderado","No","Si"
1074,"No","Moderada","Alta","Mucho","No","Si"
1075,"No","Alta","Alta","Moderado","No","Si"
1076,"No","Moderada","Alta","Mucho","No","Si"
1077,"Poca","Muy Alta","Templada","Poco","No","No"
1078,"No","Moderada","Muy Cálida","Moderado","No","Si"
1079,"No","Baja","Muy Cálida","Mucho","No","Si"
1080,"No","Alta","Alta","Moderado","No","Si"
1081,"No","Moderada","Alta","Mucho","No","Si"
1082,"No","Moderada","Alta","Mucho","No","Si"
1083,"Poca","Alta","Alta","Poco","No","Si"
1084,"No","Moderada","Alta","Moderado","No","Si"
1085,"No","Moderada","Muy Cálida","Moderado","No","Si"
1086,"No","Alta","Alta","Mucho","No","Si"
1088,"Poca","Alta","Alta","Poco","No","Si"
1089,"No","Moderada","Alta","Poco","No","Si"
1091,"Poca","Muy Alta","Alta","Poco","No","Si"
1092,"Poca","Muy Alta","Alta","Poco","No","Si"
1093,"No","Moderada","Alta","Mucho","No","Si"
1094,"No","Moderada","Alta","Poco","No","Si"
1095,"No","Alta","Alta","Poco","No","Si"
1096,"No","Alta","Alta","Mucho","No","No"
1098,"No","Baja","Muy Cálida","Moderado","No","Si"
